"","Block","Region","Carbon.g","Carbon.g","Landuse"
"1",1,"Handajega",80.32,18.12,"Wild"
"2",4,"Handajega",153.88,58.98,"Wild"
"3",1,"Ikorongo",9120.03,831.905,"Wild"
"4",1,"Makao",480.48,44.8627635127396,"Pasture"
"5",2,"Makao",242.28,44.2874047181212,"Pasture"
"6",3,"Makao",220.8,46.6875490182697,"Pasture"
"7",4,"Makao",288.73,11.3100150125158,"Pasture"
"8",2,"Maswa",5995.59,2943.725,"Wild"
"9",3,"Maswa",582.01,199.315,"Wild"
"10",4,"Maswa",216.72,32.0151094537147,"Wild"
"11",1,"Park Nyigoti",39.9,15.54,"Pasture"
"12",2,"Park Nyigoti",382.93,148.785,"Pasture"
"13",3,"Park Nyigoti",161.37,8.02870475232463,"Pasture"
"14",4,"Park Nyigoti",3190.58,1030.53621819474,"Pasture"
