"","Region","Vilde.block","Block_area.m2","landuse","MAP.mm_yr","Fire_frequency.2000_2017","Last_fire.yr","TreeC_m2","Median.TreeBM_m2","No_trees_m2","Woody.cover","Woody.cover_m2"
"6","Makao",1,2500,"Pasture",672.042796,5,2010,2787.7142705236,0.584088672,0.0204,74471.30568,29.788522272
"7","Makao",2,2500,"Pasture",672.042796,7,2010,352.860707868,0.6603828572,0.0124,51179.671433,20.4718685732
"5","Makao",3,2500,"Pasture",672.042796,6,2010,582.344322038,0.6757827034,0.0312,131777.627163,52.7110508652
"8","Makao",4,2500,"Pasture",672.042796,6,2010,946.534488308,40.69630338,0.0128,3255704.2704,1302.28170816
"11","Maswa",1,2500,"Wild",717.3581404,3,2007,1535.5655088528,75.92536592,0.012,5694402.444,2277.7609776
"12","Maswa",2,2500,"Wild",717.3581404,2,2007,4228.3574277204,94.93728876,0.0308,18275428.0863,7310.17123452
"9","Maswa",3,2500,"Wild",754.8378464,1,2004,2405.20496283,61.88519648,0.022,8509214.516,3403.6858064
"10","Maswa",4,2500,"Wild",754.8378464,1,2004,320.2261727524,0.5227879848,0.0112,36595.158936,14.6380635744
"13","Mwantimba",1,400,"Pasture",1295.061318,0,2000,81.2196253625,3.55180486,0.115,65353.209424,163.38302356
"16","Mwantimba",2,400,"Pasture",1295.061318,0,2000,158.7970048225,3.6852699575,0.2275,134143.826453,335.3595661325
"15","Mwantimba",3,400,"Pasture",1295.061318,0,2000,240.527589005,3.2750064725,0.41,214840.424596,537.10106149
"14","Mwantimba",4,400,"Pasture",1295.061318,0,2000,649.96720216,4.97343832,0.0925,73606.887136,184.01721784
"26","SNP handejega",1,2500,"Wild",1279.262855,3,2014,466.4849479984,0.7634559558,0.0136,64893.756243,25.9575024972
"27","SNP handejega",2,2500,"Wild",1279.262855,4,2014,1156.714322,21.868541576,0.0124,1694811.97214,677.924788856
"24","SNP handejega",3,2500,"Wild",1279.262855,9,2014,2965.0827300892,0.5682887776,0.0628,223053.345208,89.2213380832
"25","SNP handejega",4,2500,"Wild",1279.262855,13,2016,1852.496318652,0.5682887776,0.0312,110816.311632,44.3265246528
"21","Seronera",1,2500,"Wild",855.6199048,4,2016,341.148090006,0.2773037468,0.0152,26343.855946,10.5375423784
"22","Seronera",2,2500,"Wild",855.6199048,4,2016,270.3375016312,0.3426194928,0.0168,35975.046744,14.3900186976
"23","Seronera",3,2500,"Wild",855.6199048,6,2016,171.0273373776,0.2675639988,0.0144,24080.759892,9.6323039568
"17","Park Nyigoti",1,2500,"Pasture",1134.810804,8,2013,313.0389693976,0.5690704466,0.0176,62597.749126,25.0390996504
"18","Park Nyigoti",2,2500,"Pasture",1134.810804,7,2010,383.5298016812,0.7849829992,0.0244,119709.907378,47.8839629512
"19","Park Nyigoti",3,2500,"Pasture",1134.810804,6,2007,570.2752063176,0.8248674184,0.0468,241273.719882,96.5094879528
"20","Park Nyigoti",4,2500,"Pasture",1134.810804,5,2013,405.9662052224,0.7188095628,0.0512,230019.060096,92.0076240384
"1","Ikorongo",1,2500,"Wild",1134.810804,11,2015,1179.227546392,0.490670376,0.0396,121440.91806,48.576367224
"2","Ikorongo",2,2500,"Wild",1134.810804,10,2013,537.813448324,5.5176703,0.0228,786268.01775,314.5072071
"3","Ikorongo",3,2500,"Wild",1134.810804,10,2013,257.2602256168,0.6256017008,0.0396,154836.420948,61.9345683792
"4","Ikorongo",4,2500,"Wild",1134.810804,7,2017,820.2825303852,0.40752731,0.0244,62147.914775,24.85916591
