"plot.id";"block.id";"harvest";"P.target";"P.other";"fx"
"WET_W_1_EX_H3";"WET_W_1";"H3";1.07;0.16;"target"
"SE_4_EX_H3";"SE_4";"H3";0.44;0.23;"target"
"WET_P_1_OP_H2";"WET_P_1";"H2";0.34;0.13;"target"
"WET_P_4_EX_H4";"WET_P_4";"H4";0.33;0.09;"target"
"DRY_W_4_EX2_H1";"DRY_W_4";"H1";0.27;0.04;"target"
"WET_P_3_EX_H3";"WET_P_3";"H3";0.26;0.21;"target"
"SE_2_OP_H3";"SE_2";"H3";0.24;;"target"
"SE_1_EX_H3";"SE_1";"H3";0.24;0.23;"target"
"WET_W_4_OP_H3";"WET_W_4";"H3";0.24;;"target"
"WET_P_4_EX_H3";"WET_P_4";"H3";0.22;0.24;"target"
"WET_P_3_OP_H3";"WET_P_3";"H3";0.22;;"target"
"SE_4_EX2_H1";"SE_4";"H1";0.22;0.23;"target"
"SE_3_EX_H1";"SE_3";"H1";0.22;0.19;"target"
"DRY_P_1_OP_H1";"DRY_P_1";"H1";0.22;0.15;"target"
"SE_1_EX2_H3";"SE_1";"H3";0.21;0.27;"target"
"WET_P_4_OP_H3";"WET_P_4";"H3";0.21;;"target"
"SE_4_OP_H4";"SE_4";"H4";0.2;0.14;"target"
"WET_P_2_OP_H3";"WET_P_2";"H3";0.2;;"target"
"WET_P_2_EX_H3";"WET_P_2";"H3";0.2;0.14;"target"
"DRY_W_3_EX2_H2";"DRY_W_3";"H2";0.2;0.15;"target"
"SE_4_EX2_H4";"SE_4";"H4";0.19;0.12;"target"
"SE_3_EX2_H4";"SE_3";"H4";0.19;0.17;"target"
"WET_W_3_OP_H3";"WET_W_3";"H3";0.19;0.2;"target"
"SE_1_EX_H2";"SE_1";"H2";0.19;0.17;"target"
"WET_P_3_EX_H4";"WET_P_3";"H4";0.18;;"target"
"SE_3_EX2_H2";"SE_3";"H2";0.18;0.15;"target"
"DRY_W_4_OP_H3";"DRY_W_4";"H3";0.17;0.2;"target"
"SE_3_OP_H2";"SE_3";"H2";0.17;0.17;"target"
"DRY_P_1_OP_H3";"DRY_P_1";"H3";0.16;;"target"
"DRY_W_4_EX2_H3";"DRY_W_4";"H3";0.16;0.17;"target"
"WET_W_4_EX_H3";"WET_W_4";"H3";0.16;;"target"
"WET_W_3_EX_H3";"WET_W_3";"H3";0.16;0.17;"target"
"SE_4_EX_H1";"SE_4";"H1";0.16;0.33;"target"
"SE_3_EX2_H1";"SE_3";"H1";0.16;0.38;"target"
"SE_4_EX_H4";"SE_4";"H4";0.15;0.13;"target"
"SE_1_EX2_H4";"SE_1";"H4";0.15;0.14;"target"
"WET_P_1_EX_H4";"WET_P_1";"H4";0.15;;"target"
"SE_4_EX2_H2";"SE_4";"H2";0.15;0.12;"target"
"DRY_W_1_EX_H1";"DRY_W_1";"H1";0.15;0.15;"target"
"DRY_W_1_H0";"DRY_W_1";"H0";0.15;;"target"
