plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,target.sp.,pasture.disc.harvest,height.harvest,spo_pyr,mic_kun,sol_inc,the_tri,chr_ori,chl_pyc,het_con,spo_fes,dic_cin,dig_sp,dig_mac,bot_ins,ind_vol,ble_sp,cyp_sp,spo_ioc,pan_col,ind_sp,pen_mez,tri_ter,tra_bet,gut_cor,bra_sp,eup_ind,cyn_dac,sid_ova,jus_mat,ind_hoc,dac_aeg,era_rac,era_ten,oxy_sin,leu_sp,bid_sp,dys_rad,sph_sp,com_ben,spo_afr,bra_sem,dys_sp,chl_gay,kyl_sp,cro_spi,bra_bri,tra_ber,arc_sp,ari_ken,dic_rad,spo_sp,gut_pet,era_sp,pan_max,spo_fim,cyn_ple,aca_rob,lon_sp,kyl_ner,eup_hir,dic_mon,kyl_alb,rue_pat,old_sp,spo_sta,ipo_sp,mon_sp,het_ste,sen_aby,cyn_sp,hel_ste,son_sp,gut_sp,dac_gig,mar_sp,cra_pla,tep_pum,hyp_dis,bot_scr,oci_sua,eup_ina,ach_asp,her_sp,dig_vel ,cya_sp,com_tru,bid_sch,mar_amo,sed_ort,target.sp.cover.harvest,sum.sp.harvest,total.veg.cover.harvest
WET_W_1_H0,WET_W_1_H1,WET_W,WET_W_1,Handajega,WET,W,1,H0,H0,954,-2.272484,34.023326,2/16/2017,,,,The.tri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_W_2_H0,WET_W_2_H1,WET_W,WET_W_2,Handajega,WET,W,2,H0,H0,953,-2.2783,34.024459,2/16/2017,,,,The.tri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_W_3_H0,WET_W_3_H1,WET_W,WET_W_3,Handajega,WET,W,3,H0,H0,951,-2.277999,34.027678,2/16/2017,,,,The.tri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_W_4_H0,WET_W_4_H1,WET_W,WET_W_4,Handajega,WET,W,4,H0,H0,950,-2.278837,34.031884,2/16/2017,,,,The.tri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_P_1_H0,WET_P_1_H1,WET_P,WET_P_1,Mwantimba,WET,P,1,H0,H0,957,-2.350052,34.049976,2/17/2017,,,,Chr.ori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_P_2_H0,WET_P_2_H1,WET_P,WET_P_2,Mwantimba,WET,P,2,H0,H0,959,-2.348488,34.05011,2/17/2017,,,,Chr.ori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_P_3_H0,WET_P_3_H1,WET_P,WET_P_3,Mwantimba,WET,P,3,H0,H0,1022,-2.367293,34.062509,2/17/2017,,,,Chr.ori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_P_4_H0,WET_P_4_H1,WET_P,WET_P_4,Mwantimba,WET,P,4,H0,H0,1020,-2.36857,34.062586,2/23/2017,,,,Chr.ori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_1_H0,DRY_W_1_H1,DRY_W,DRY_W_1,Maswa,DRY,W,1,H0,H0,995,-3.299332,34.848458,2/19/2017,,,,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_2_H0,DRY_W_2_H1,DRY_W,DRY_W_2,Maswa,DRY,W,2,H0,H0,980,-3.303268,34.847796,2/19/2017,,,,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_3_H0,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,H0,H0,998,-3.295645,34.852435,2/20/2017,,,,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_4_H0,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,H0,H0,1000,-3.296013,34.854327,2/20/2017,,,,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_P_1_H0,DRY_P_1_H1,DRY_P,DRY_P_1,Makao,DRY,P,1,H0,H0,1009,-3.303212,34.847736,2/21/2017,,,,Chl.pyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_P_2_H0,DRY_P_2_H1,DRY_P,DRY_P_2,Makao,DRY,P,2,H0,H0,1006,-3.408426,34.850244,2/21/2017,,,,Chl.pyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_P_3_H0,DRY_P_3_H1,DRY_P,DRY_P_3,Makao,DRY,P,3,H0,H0,1001,-3.406316,34.850407,2/20/2017,,,,Chl.pyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_P_4_H0,DRY_P_4_H1,DRY_P,DRY_P_4,Makao,DRY,P,4,H0,H0,1003,-3.406853,34.8516,2/20/2017,,,,Chl.pyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_1_H0,SE_1_H1,SE_1_,SE_1,Seronera,SE,W,1,H0,H0,1023,-2.437747,34.855162,2/26/2017,,,,Dig.mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2_H0,SE_2_H1,SE_2_,SE_2,Seronera,SE,W,2,H0,H0,1025,-2.437766,34.855394,2/26/2017,,,,Dig.mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_3_H0,SE_3_H1,SE_3_,SE_3,Seronera,SE,W,3,H0,H0,1027,-2.437991,34.855418,2/26/2017,,,,Dig.mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_4_H0,SE_4_H1,SE_4_,SE_4,Seronera,SE,W,4,H0,H0,1026,-2.438079,34.854989,2/26/2017,,,,Dig.mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WET_W_1_EX_H1,WET_W_1_H1,WET_W,WET_W_1,Handajega,WET,W,1,EX,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,The.tri,4,1.2,,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,45
WET_W_1_OP_H1,WET_W_1_H1,WET_W,WET_W_1,Handajega,WET,W,1,OP,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,The.tri,1.5,1.4,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,30
WET_W_2_EX_H1,WET_W_2_H1,WET_W,WET_W_2,Handajega,WET,W,2,EX,H1,953,-2.2783,34.024459,2/16/2017,3/20/2017,32,145.67,The.tri,2.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,20
WET_W_2_OP_H1,WET_W_2_H1,WET_W,WET_W_2,Handajega,WET,W,2,OP,H1,953,-2.2783,34.024459,2/16/2017,3/20/2017,32,145.67,The.tri,1.5,0.6,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,24
WET_W_3_EX_H1,WET_W_3_H1,WET_W,WET_W_3,Handajega,WET,W,3,EX,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,The.tri,2.5,4.1,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27,50
WET_W_3_OP_H1,WET_W_3_H1,WET_W,WET_W_3,Handajega,WET,W,3,OP,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,The.tri,0.7,4.5,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,40
WET_W_4_EX_H1,WET_W_4_H1,WET_W,WET_W_4,Handajega,WET,W,4,EX,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,The.tri,1.8,2.7,,,,,,,,17.00,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29,35
WET_W_4_OP_H1,WET_W_4_H1,WET_W,WET_W_4,Handajega,WET,W,4,OP,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,The.tri,1.8,2.2,,5.00,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,28,30
