Column1;Site;Region;Landuse;Stuart_correction;Block;ID_SUA;CLAY..;SILT..;SAND..;Class;OC..;Claycorr;Siltcorr;Sandcorr
1;Makao;Dry;Pasture;2;1;678;23.96;0.92;75.12;sandy clay loam;1.25;21.067068;12.783824;66.149108
2;Makao;Dry;Pasture;3;2;679;19.96;4.92;75.12;sandy loam;1.64;16.410668;16.739824;66.849508
3;Makao;Dry;Pasture;1;3;680;21.96;8.92;69.12;sandy clay loam;1.75;19.367268;20.273624;60.359108
4;Makao;Dry;Pasture;4;4;681;25.96;6.92;67.12;sandy clay loam;1.76;24.23313467;18.15489067;57.61197467
5;Makao;Dry;Agriculture;1;1;682;12.57;0.97;86.47;loamy sand;1.02;6.616532667;13.62747167;79.75599567
6;Makao;Dry;Agriculture;2;2;683;21.13;3.09;75.78;sandy clay loam;0.46;17.703541;14.976396;67.320063
7;Makao;Dry;Agriculture;3;3;684;54.08;21.26;24.65;clay;1.84;61.41836433;29.35314233;9.228493333
8;Makao;Dry;Agriculture;4;4;685;51.96;18.92;29.12;clay;1.85;58.47960133;27.34895733;14.17144133
9;Maswa;Dry;Wild;3;1;686;47.96;22.92;29.12;clay;2.88;53.82320133;31.30495733;14.87184133
10;Maswa;Dry;Wild;4;2;687;45.27;23.6;31.12;clay;2.05;50.48501867;32.12267467;17.39230667
11;Maswa;Dry;Wild;1;3;688;38.69;26.81;34.5;clay loam;2.55;42.468529;35.53074;22.000731
12;Maswa;Dry;Wild;2;4;689;28.15;25.09;46.77;sandy clay loam;2.17;28.911124;34.688595;36.400281
13;Mwantimba;Wet;Pasture;1;1;694;31.21;11.38;57.41;sandy clay loam;1.73;31.36162033;21.88257033;46.75580933
14;Mwantimba;Wet;Pasture;4;2;695;33.96;8.92;57.12;sandy clay loam;2.07;34.593268;19.429224;45.977508
15;Mwantimba;Wet;Pasture;2;3;696;39.96;12.92;47.12;sandy clay;1.65;42.62520133;22.68155733;34.69324133
16;Mwantimba;Wet;Pasture;3;4;697;27.96;4.92;67.12;sandy clay loam;1.04;26.56133467;16.17689067;57.26177467
17;Mwantimba;Wet;Agriculture;1;1;698;45.96;14.92;39.12;clay;2.04;50.447668;24.096624;25.455708
18;Mwantimba;Wet;Agriculture;2;2;699;34.34;19.23;46.43;sandy clay loam;1.75;36.15522533;28.87359433;34.97118033
19;Mwantimba;Wet;Agriculture;3;3;700;27.96;4.92;67.12;sandy clay loam;0.89;26.56133467;16.17689067;57.26177467
20;Mwantimba;Wet;Agriculture;4;4;701;17.96;4.92;77.12;sandy loam;2.02;13.87300133;16.88055733;69.24644133
21;Handajega;Wet;Wild;3;1;702;21.96;4.92;73.12;sandy clay loam;1.24;18.94833467;16.59909067;64.45257467
22;Handajega;Wet;Wild;4;2;703;23.96;4.92;71.12;sandy clay loam;3.31;21.48600133;16.45835733;62.05564133
23;Handajega;Wet;Wild;1;3;704;25.96;8.92;65.12;sandy clay loam;1.61;24.44260133;19.99215733;55.56524133
24;Handajega;Wet;Wild;2;4;705;25.96;8.92;65.12;sandy clay loam;1.7;24.44260133;19.99215733;55.56524133
25;Seronera;Dry-Wet;Common Garden;1;1;690;29.08;7.2;63.73;sandy clay loam;1.1;28.21745967;18.18880367;53.59373667
26;Seronera;Dry-Wet;Common Garden;2;2;691;21.07;7.31;71.62;sandy clay loam;1.45;18.06938567;18.85725067;63.07336367
27;Seronera;Dry-Wet;Common Garden;3;3;692;21.96;4.92;73.12;sandy clay loam;1.4;18.94833467;16.59909067;64.45257467
28;Seronera;Dry-Wet;Common Garden;4;4;693;15.96;6.92;77.12;sandy loam;0.61;11.54480133;18.85855733;69.59664133
