Current placement of the turf,Block,aspect,Tagsp,Site,Landuse,Other.weight.g,Other.subsample.wt.g,date,Target.weight.g,Target.subsample.wt.g
CG_DRY_P_1_1,1,n,Dig.mac,Makao,Pasture,10.07,2.89,24.5.2018,,
CG_DRY_P_2_1,2,n,Dig.mac,Maswa,Wild,7.12,1.36,24.5.2018,5.95,0.43
CG_DRY_P_1_2,1,s,Dig.mac,Makao,Pasture,9.32,2.13,24.5.2018,6.18,0.6
CG_DRY_P_2_1,2,n,Dig.mac,Makao,Pasture,11.22,2.83,25.5.2018,6.94,1.38
CG_DRY_P_3_1,3,n,,Makao,Pasture,14.69,6.85,24.5.2018,,
CG_DRY_P_3_2,3,s,,Makao,Pasture,13.32,4.94,24.5.2018,,
CG_DRY_P_4_1,4,n,Dig.mac,Makao,Pasture,9.83,2.27,24.5.2018,6.56,1.06
CG_DRY_P_4_2,4,s,Dig.mac,Makao,Pasture,14.2,4.31,24.5.2018,6.43,0.95
CG_DRY_W_1_1,1,n,,Maswa,Wild,7.36,1.33,22.5.2018,,
CG_DRY_W_1_2,1,s,Dig.mac,Maswa,Wild,5.9,0.72,25.5.2018,14.06,6.18
CG_DRY_W_2_2,2,s,Dig.mac,Maswa,Wild,43.61,14.36,25.5.2018,7.55,1.74
CG_DRY_W_3_1,3,n,,Maswa,Wild,5.68,0.28,25.5.2018,,
CG_DRY_W_3_2,3,s,Dig.mac,Maswa,Wild,5.84,0.53,25.5.2018,5.85,0.32
CG_DRY_W_4_1,4,n,,Maswa,Wild,5.2,0.87,25.5.2018,,
CG_DRY_W_4_2,4,s,Dig.mac,Maswa,Wild,6.55,0.93,25.5.2018,6.42,0.83
CG_WET_P_1_1,1,,Dig.mac,Mwantimba,Pasture,,,24.5.2018,5.77,0.16
CG_WET_P_1_2,1,s,,Mwantimba,Pasture,8.27,1.78,21.5.2018,,
CG_WET_P_2_1,2,n,,Mwantimba,Pasture,18.81,5.17,21.5.2018,,
CG_WET_P_2_2,2,s,Dig.mac,Mwantimba,Pasture,19.7,14.54,21.5.2018,6.78,0.82
CG_WET_W_1_1,1,n,Dig.mac,Handajega,Wild,40.58,12.69,25.5.2018,19.05,6.8
CG_WET_W_1_2,1,s,,Handajega,Wild,6.05,0.46,22.5.2018,,
CG_WET_W_2_1,2,n,Dig.mac,Handajega,Wild,11.02,2.06,22.5.2018,18.16,4.76
CG_WET_W_2_2,2,s,Dig.mac,Handajega,Wild,16.06,8.91,22.5.2018,16.81,5.46
CG_WET_W_3_1,3,n,Dig.mac,Handajega,Wild,13.25,4.82,22.5.2018,12.04,2.12
CG_WET_W_3_2,3,s,Dig.mac,Handajega,Wild,4.78,0.22,22.5.2018,9.57,0.8
CG_WET_W_4_1,4,n,,Handajega,Wild,23.9,10.37,22.5.2018,,
CG_WET_W_4_2,4,s,,Handajega,Wild,39.75,7.84,25.5.2018,,
DRY_P_1_1,1,,The.tri,Makao,Pasture,15.13,2.19,24.5.2018,7.39,1.13
DRY_P_1_2,1,,,Makao,Pasture,9.62,2.5,24.5.2018,,
DRY_P_1_3,1,,,Makao,Pasture,10.59,2.99,24.5.2018,,
DRY_P_1_4,1,,Chl pyc,Makao,Pasture,6.63,0.76,24.5.2018,8.79,2.41
DRY_P_1_5,1,,Chl.pyc,Makao,Pasture,6.25,0.49,24.5.2018,14.75,3.18
DRY_P_2_1,2,,,Makao,Pasture,9.9,5.39,24.5.2018,,
DRY_P_2_2,2,,,Makao,Pasture,6.14,0.46,24.5.2018,,
DRY_P_2_3,2,,Chl.pyc,Makao,Pasture,12.78,4.05,24.5.2018,6.21,0.4
DRY_P_2_4,2,,Cyn.dac,Makao,Pasture,7.34,1.04,24.5.2018,6.04,0.77
DRY_P_2_5,2,,Chl.pyc,Makao,Pasture,7.31,1.05,24.5.2018,11.65,3.55
DRY_P_3_1,3,,Cyn.dac,Makao,Pasture,28.69,8.5,24.5.2018,6.85,1.02
DRY_P_3_2,3,,,Makao,Pasture,31.53,11.59,24.5.2018,,
DRY_P_3_3,3,,,Makao,Pasture,26.6,8.06,24.5.2018,,
DRY_P_3_5,3,,Chl.pyc,Makao,Pasture,10.6,2.8,24.5.2018,12.71,4.67
DRY_P_4_1,4,,,Makao,Pasture,19.62,7.55,24.5.2018,,
DRY_P_4_2,4,,,Makao,Pasture,11.52,3.18,24.5.2018,,
DRY_P_4_3,4,,Cyn.dac,Makao,Pasture,20.55,7.42,24.5.2018,6.96,1.09
DRY_P_4_4,4,,Chl.pyc,Makao,Pasture,20.52,7.61,24.5.2018,8.5,1.84
DRY_W_1_1,1,,The.tri,Maswa,Wild,13.52,6.79,25.5.2018,5,0.34
DRY_W_1_2,1,,Cry.ori,Maswa,Wild,6.94,1.6,25.5.2018,,
DRY_W_1_3,1,,Cyn.dac,Maswa,Wild,28.95,14.37,25.5.2018,5.63,0.83
DRY_W_1_5,1,,Cyn.dac,Maswa,Wild,13.41,4.07,25.5.2018,10.08,4.55
DRY_W_3_1,3,,,Maswa,Wild,6.6,0.59,25.5.2018,,
DRY_W_3_3,3,,Cyn.dac,Maswa,Wild,7.33,1.36,25.5.2018,7.79,1.68
DRY_W_3_4,3,,,Maswa,Wild,23.01,5.22,25.5.2018,,
DRY_W_3_5,3,,Cyn.dac,Maswa,Wild,5.9,0.25,25.5.2018,6.36,0.8
DRY_W_4_1,4,,The.tri,Maswa,Wild,8.03,1.67,25.5.2018,6,0.6
DRY_W_4_2,4,,,Maswa,Wild,6.07,0.7,25.5.2018,,
DRY_W_4_3,4,,Cyn.dac,Maswa,Wild,6.23,0.67,25.5.2018,10.26,3.63
DRY_W_4_4,4,,Cyn.dac,Maswa,Wild,7.01,1.52,25.5.2018,13.38,4.44
DRY_W_4_5,4,,,Maswa,Wild,5.83,0.43,22.5.2018,,
SE_1_EX_1,1,,Chl.pyc,Seronera,Wild,21.1,9.27,19.5.2018,21.16,8.55
SE_1_EX_2,1,,Cry.ori,Seronera,Wild,16.14,8.24,19.5.2018,22.65,12.22
SE_1_EX_3,1,,Cry.ori,Seronera,Wild,,,19.5.2018,10.75,4.03
SE_1_EX_4,1,,Cry.ori,Seronera,Wild,23.08,19.13,19.5.2018,5.65,0.33
SE_1_EX_5,1,,Dig.mac,Seronera,Wild,11.42,4.24,19.5.2018,73.13,20.65
SE_1_OP_1,1,,The.tri,Seronera,Wild,9.77,2.57,19.5.2018,23.5,12.22
SE_1_OP_2,1,,Cry.ori,Seronera,Wild,8.65,2.45,19.5.2018,9.86,2.61
SE_1_OP_3,1,,Cyn.dac,Seronera,Wild,15.24,6.37,19.5.2018,6.18,0.75
SE_1_OP_4,1,,,Seronera,Wild,14.01,5.9,19.5.2018,,
SE_1_OP_5,1,,,Seronera,Wild,7.19,1.58,19.5.2018,,
SE_2_EX_1,2,,,Seronera,Wild,76.93,18.15,19.5.2018,,
SE_2_EX_2,2,,Cry.ori,Seronera,Wild,160.28,26.23,19.5.2018,18.74,9.25
CG_DRY_P_2_2,2,,Dig.mac,Makao,Pasture,11.88,4.6,19.5.2018,,
WET_P_4_3,4,,The.tri,Mwantimba,Pasture,14.27,4.36,21.5.2018,,
SE_2_EX_3,2,,Cyn.dac,Seronera,Wild,11.99,4.63,19.5.2018,16.45,7.23
SE_2_EX_4,2,,,Seronera,Wild,19.53,10.46,19.5.2018,,
SE_2_EX_5,2,,,Seronera,Wild,83.16,18.48,19.5.2018,,
SE_2_OP_1,2,,The.tri,Seronera,Wild,9.49,2.05,19.5.2018,6.26,1.01
SE_2_OP_2,2,,Cry.ori,Seronera,Wild,31.3,12.8,19.5.2018,8.66,1.9
SE_2_OP_3,2,,The.tri,Seronera,Wild,21.07,7.11,19.5.2018,6.3,0.73
