Sample_code,Site,Block,Place ment,Source.ID,Date,Landuse,Tagsp,Trasnplant,Treatment,NO3-N  mg/Kg,NO3-N  mg/Kg,NO3-N  mg/Kg,NH4-N mg/Kg,NH4-N mg/Kg,NH4-N mg/Kg,NO3-N  mg/Kg/day,NH4-N mg/Kg/day
CG_DRY_W_1_1,Maswa,1,DRY_W,SE_1_EX_3,22/5/18,Wild,Dig mac,Trasnplant,Open,0.76,1.39804274,1.39804274,22.71,83.88256441,87.56741696,0.010681745,1.08088794
CG_DRY_W_1_2,Maswa,1,DRY_W,SE_1_OP_3,25/5/18,Wild,Dig mac,Trasnplant,Open,1.30,0.793650794,0.837955389,13.80,123.015873,143.6494952,-0.007716217,2.164196165
CG_DRY_W_2_1,Maswa,2,DRY_W,SE_2_EX_3,25/5/18,Wild,Dig mac,Trasnplant,Open,2.36,6.329739887,7.982438635,13.99,71.20957373,83.81560567,0.093722252,1.163682061
CG_DRY_W_2_2,Maswa,2,DRY_W,SE_2_OP_3,25/5/18,Wild,Dig mac,Trasnplant,Open,5.96,3.753693794,1.852472262,15.10,135.7719032,70.94574621,-0.068440191,0.930831792
CG_DRY_W_2_2b,Maswa,2,DRY_W,SE_2_OP_3,25/5/18,Wild,Dig mac,Trasnplant,Open,1.15,1.505129322,8.762322015,11.94,63.3738662,139.4005775,0.126804998,2.12437362
CG_DRY_W_3_1,Maswa,3,DRY_W,SE_3_EX_3,25/5/18,Wild,Dig mac,Trasnplant,Open,3.43,8.705975465,9.160426956,17.14,114.7605857,95.58706388,0.095555215,1.307524894
CG_DRY_W_3_2,Maswa,3,DRY_W,SE_3_OP_3,25/5/18,Wild,Dig mac,Trasnplant,Open,7.55,2.103758981,1.556296015,13.91,79.38713135,83.80055468,-0.099880382,1.164904716
CG_DRY_W_4_1,Maswa,4,DRY_W,SE_4_EX_3,25/5/18,Wild,Dig mac,Trasnplant,Open,2.29,5.190656818,15.74307305,15.02,123.777201,122.0088161,0.224174117,1.783136045
CG_DRY_W_4_2,Maswa,4,DRY_W,SE_4_OP_3,25/5/18,Wild,Dig mac,Trasnplant,Open,9.14,4.776214452,9.995202303,15.90,87.56393162,99.95202303,0.014207267,1.400859332
DRY_W_1_5,Maswa,1,DRY_W,DRY_W_1_5,25/5/18,Wild,Cyn dac,Control,Open,5.54,3.37972167,3.121049305,24.14,43.73757455,32.39570164,-0.040327751,0.137566961
DRY_W_3_5,Maswa,3,DRY_W,DRY_W_3_5,25/5/18,Wild,Cyn dac,Control,Open,3.98,9.915716411,9.899029895,13.13,99.15716411,98.99029895,0.098659399,1.430967688
DRY_W_4_5,Maswa,4,DRY_W,DRY_W_4_5,22/5/18,Wild,Cyn dac,Control,Open,5.18,5.560299462,6.359679631,15.15,111.2059892,131.1683924,0.019585493,1.93355923
CG_DRY_P_1_1,Makao,1,DRY_P,SE_1_EX_4,24/5/18,Pasture,Dig mac,Trasnplant,Open,3.56,1.859397872,5.578689406,13.45,67.25481663,67.74122851,0.03365562,0.904913115
CG_DRY_P_1_2,Makao,1,DRY_P,SE_1_OP_4,24/5/18,Pasture,Dig mac,Trasnplant,Open,2.21,2.910627779,5.510834695,13.04,71.76890413,86.59883092,0.054974817,1.226029898
CG_DRY_P_2_1,Makao,2,DRY_P,SE_2_EX_4,25/5/18,Pasture,Dig mac,Trasnplant,Open,1.43,6.398464369,9.415272356,10.75,83.97984484,94.15272356,0.13302206,1.389968467
CG_DRY_P_2_2,Makao,2,DRY_P,SE_2_OP_4,25/5/18,Pasture,Dig mac,Trasnplant,Open,5.58,4.762755254,7.174172977,15.13,67.4723661,79.71303308,0.026645084,1.076327002
CG_DRY_P_3_1,Makao,3,DRY_P,SE_3_EX_4,24/5/18,Pasture,Dig mac,Trasnplant,Open,4.79,1.230280782,0.75922559,12.38,75.40430598,83.9144073,-0.067228015,1.192212203
CG_DRY_P_3_2,Makao,3,DRY_P,SE_3_OP_4,24/5/18,Pasture,Dig mac,Trasnplant,Open,3.69,0.672215742,6.735340729,10.32,90.94683564,114.8969889,0.050753844,1.743009201
CG_DRY_P_4_1,Makao,4,DRY_P,SE_4_EX_4,24/5/18,Pasture,Dig mac,Trasnplant,Open,1.03,1.032627043,3.064127818,10.33,67.51792204,75.60834875,0.033846376,1.087914936
CG_DRY_P_4_2,Makao,4,DRY_P,SE_4_OP_4,24/5/18,Pasture,Dig mac,Trasnplant,Open,0.76,0.231407597,1.588877855,11.19,55.85700606,87.38828203,0.013827538,1.269994906
DRY_P_1_5,Makao,1,DRY_P,DRY_P_1_5,24/5/18,Pasture,Chl pyc,Control,Open,3.09,1.358397091,2.609211307,15.43,71.91514013,83.02035975,-0.007957545,1.12645066
DRY_P_2_5,Makao,2,DRY_P,DRY_P_2_5,24/5/18,Pasture,Chl pyc,Control,Open,0.83,2.830207482,5.932722922,11.13,63.77932354,79.10297229,0.08496968,1.132929073
DRY_P_3_5,Makao,3,DRY_P,DRY_P_3_5,24/5/18,Pasture,Chl pyc,Control,Open,0.67,2.973535534,4.786788464,11.09,107.0472792,131.6366828,0.068557797,2.00911159
SE_1_EX_5,Seronera,1,SE_EX,SE_1_EX_5,19/5/18,Wild,Dig mac,Control,Exclosed,0.32,1.390875854,2.353832958,11.06,79.47862025,95.74913726,0.033899217,1.411525981
SE_1_OP_5,Seronera,1,SE_OP,SE_1_OP_5,19/5/18,Wild,Dig mac,Control,Open,1.22,0.378974794,#VALUE!,13.01,59.2148116,30.74281836,-0.020195384,0.295622995
SE_2_EX_5,Seronera,2,SE_EX,SE_2_EX_5,19/5/18,Wild,Dig mac,Control,Exclosed,1.23,1.667328305,1.352991504,15.14,115.1250496,115.4022165,0.001970039,1.671101516
SE_2_OP_5,Seronera,2,SE_OP,SE_2_OP_5,19/5/18,Wild,Dig mac,Control,Open,2.47,0.876319458,1.514396732,15.16,67.7155945,71.73458205,-0.015991957,0.942864705
SE_3_EX_5,Seronera,3,SE_EX,SE_3_EX_5,19/5/18,Wild,Dig mac,Control,Exclosed,1.50,2.192239472,3.542330854,16.61,71.74601909,98.39807927,0.033986105,1.363069254
SE_3_OP_5,Seronera,3,SE_OP,SE_3_OP_5,19/5/18,Wild,Dig mac,Control,Open,2.75,2.143112275,2.390295401,17.11,87.31198159,75.69268769,-0.005929244,0.976327034
SE_4_EX_5,Seronera,4,SE_EX,SE_4_EX_5,19/5/18,Wild,Dig mac,Control,Exclosed,0.72,4.32576979,5.524861878,11.56,82.58287782,94.71191792,0.080120024,1.385826851
